"id";"sex";"affiliated";"time_secs"
4956;"m";1;1177.8
7940;"m";0;1177.9
4033;"m";1;1178.2
2489;"m";0;1178.2
7262;"m";1;1178.3
2781;"m";0;1178.3
2446;"m";0;1178.5
3456;"m";1;1178.6
3014;"m";1;1178.6
4267;"m";1;1178.9
9060;"m";1;1179.0
2213;"m";1;1179.2
3446;"m";1;1180.0
4186;"m";1;1180.4
2736;"m";0;1180.5
2302;"m";1;1181.2
3810;"m";1;1181.4
3191;"m";0;1181.4
3394;"m";1;1181.6
8339;"m";0;1181.6
4359;"m";1;1181.9
2215;"m";1;1182.2
3362;"m";1;1182.3
14868;"f";1;1183.4
2455;"m";0;1183.4
4094;"m";0;1183.4
9547;"m";1;1184.0
4272;"m";1;1185.6
2540;"m";0;1186.1
8915;"m";1;1186.2
4634;"m";1;1186.5
2492;"m";0;1186.8
18726;"m";1;1187.4
3429;"f";1;1187.9
3070;"f";0;1188.1
3175;"m";0;1188.3
18876;"m";1;1188.5
2728;"m";0;1188.8
5236;"m";1;1188.8
8440;"m";1;1188.9
3598;"m";0;1188.9
2441;"m";1;1190.0
4124;"m";1;1190.0
4816;"m";1;1190.0
2360;"m";0;1190.0
2986;"m";1;1190.1
2832;"m";0;1190.2
4544;"m";1;1191.3
3137;"f";1;1191.4
2226;"m";1;1191.6
4942;"m";1;1191.7
8346;"m";0;1192.1
2615;"m";0;1192.2
3341;"m";1;1193.2
4019;"m";1;1193.3
3599;"m";0;1194.6
2695;"m";1;1194.7
10848;"m";1;1195.1
11121;"m";1;1195.1
3908;"m";1;1195.8
2451;"m";1;1195.9
3500;"m";0;1196.1
3270;"m";1;1196.7
5059;"m";1;1196.9
2089;"m";0;1196.9
3505;"m";1;1197.1
2704;"m";1;1197.3
10040;"m";1;1197.4
3517;"m";1;1197.6
9097;"m";1;1197.6
5381;"m";0;1198.5
9027;"m";0;1198.6
3387;"m";1;1199.0
2738;"m";0;1199.0
17596;"m";0;1199.5
3202;"m";0;1199.8
4413;"m";1;1199.9
4127;"m";1;1200.4
7178;"m";0;1200.8
9245;"f";1;1201.2
4007;"m";1;1201.6
4580;"m";1;1201.6
19520;"m";1;1201.7
2497;"m";0;1201.8
3602;"m";0;1202.2
18974;"m";1;1202.3
4719;"m";1;1202.5
2930;"m";1;1202.6
2876;"m";0;1203.2
9831;"m";1;1203.3
2715;"m";0;1203.3
3182;"m";0;1204.8
2554;"m";0;1204.9
10515;"m";1;1205.8
3250;"m";0;1206.0
2812;"m";1;1206.3
4118;"m";1;1206.4
