"id";"sex";"affiliated";"time_secs"
2979;"m";1;863.6
4178;"m";1;871.5
2342;"m";1;900.6
3218;"m";1;910.5
2952;"m";1;917.4
3460;"m";1;919.6
3906;"m";1;934.2
3711;"m";1;944.9
4058;"m";1;946.5
3523;"m";1;948.2
3269;"m";1;963.1
3894;"m";1;971.7
4703;"m";0;975.5
4452;"m";1;981.9
2925;"m";1;982.6
3223;"m";1;986.7
3276;"m";1;987.0
3325;"m";1;995.5
3682;"m";1;999.3
4306;"m";1;1003.7
4453;"m";1;1005.9
2028;"m";0;1006.9
3767;"f";1;1008.5
4365;"m";1;1011.2
3302;"m";1;1012.7
10291;"m";1;1013.3
3217;"f";1;1014.7
2661;"m";0;1015.4
4454;"m";1;1017.1
4459;"m";1;1017.9
4514;"m";0;1020.8
3805;"m";1;1025.7
2594;"m";1;1026.9
4426;"m";1;1029.0
4548;"f";1;1037.4
2683;"m";0;1039.8
3421;"m";1;1040.5
10525;"m";1;1041.4
2419;"m";1;1041.5
3403;"m";1;1041.5
8169;"f";0;1042.1
3340;"m";1;1043.4
2504;"m";1;1043.6
3922;"m";1;1049.0
3545;"m";1;1050.5
3304;"m";1;1051.1
3280;"m";1;1055.3
3778;"m";1;1056.7
4690;"m";0;1057.0
4518;"m";1;1057.3
2257;"m";1;1057.3
3289;"m";1;1058.3
4456;"m";1;1059.1
3027;"m";0;1060.5
2708;"m";1;1060.7
4540;"m";0;1061.2
4218;"m";1;1063.4
3525;"m";1;1065.9
4462;"m";1;1066.3
3387;"m";1;1070.9
3264;"m";1;1072.1
2088;"f";1;1072.1
3142;"f";0;1073.5
3083;"m";0;1074.5
2473;"m";1;1075.4
3493;"m";1;1076.1
3136;"m";0;1077.4
3517;"m";1;1078.5
3040;"m";1;1082.4
2375;"f";0;1085.0
3520;"m";1;1086.6
3194;"m";0;1089.7
2959;"m";1;1090.7
4044;"m";1;1090.8
2862;"m";1;1092.8
4432;"m";1;1092.8
2089;"m";1;1092.9
19216;"m";1;1093.1
4324;"m";1;1094.0
2223;"m";0;1094.5
2091;"m";0;1095.3
3720;"m";1;1095.4
4507;"f";0;1097.8
3193;"m";1;1098.0
3343;"m";1;1099.1
2502;"m";1;1099.4
3228;"m";1;1099.7
2905;"m";0;1099.8
2831;"m";1;1102.7
8658;"m";0;1105.3
12431;"m";0;1105.5
3612;"m";1;1106.7
4706;"m";0;1106.7
2691;"m";0;1106.9
3015;"m";1;1107.3
3435;"m";1;1108.4
4233;"m";1;1109.2
3908;"m";1;1109.6
2759;"m";1;1109.9
3611;"m";1;1110.1
2619;"m";0;1110.8
3972;"m";1;1111.2
4023;"m";1;1111.9
10298;"m";1;1112.1
2066;"f";1;1112.3
3719;"m";1;1112.8
3636;"m";1;1113.2
3791;"m";1;1113.2
3620;"m";1;1114.0
3892;"m";1;1116.5
4042;"m";1;1116.5
4683;"m";1;1117.5
2039;"m";0;1117.8
3840;"m";0;1120.7
3300;"m";1;1121.2
4532;"m";1;1122.8
2812;"m";0;1123.0
2721;"m";0;1123.1
3192;"m";0;1124.3
4440;"m";1;1124.8
3171;"m";0;1125.0
11018;"m";1;1125.0
3452;"m";0;1125.3
2866;"m";1;1125.5
3375;"m";1;1125.5
3219;"f";1;1125.6
3974;"m";1;1126.2
3930;"m";1;1127.4
2684;"m";1;1127.4
3571;"m";1;1128.7
2840;"m";0;1129.7
4163;"m";1;1130.9
2996;"m";1;1131.3
2246;"m";1;1131.7
3973;"m";1;1132.1
9560;"m";1;1132.2
2956;"m";0;1132.3
3881;"m";1;1132.3
3311;"m";0;1133.1
3183;"f";0;1133.5
10134;"m";1;1133.6
3177;"f";1;1133.7
2195;"m";1;1133.8
7564;"m";0;1134.0
3360;"m";1;1134.0
3773;"m";1;1134.1
3070;"m";0;1134.4
3904;"m";1;1134.9
3951;"m";1;1135.6
3370;"m";1;1135.9
3235;"m";1;1136.3
3681;"f";1;1136.4
4065;"m";1;1137.7
4394;"m";1;1137.9
3231;"m";1;1138.4
4309;"m";1;1138.5
3911;"m";1;1139.0
3516;"m";0;1139.6
2551;"m";1;1140.0
3825;"m";1;1140.6
4046;"m";1;1144.7
3575;"m";1;1144.9
4515;"f";0;1145.0
2610;"m";1;1145.3
3619;"m";1;1145.7
4537;"m";0;1145.7
3445;"m";0;1145.8
2135;"m";0;1146.3
10323;"m";1;1147.2
3508;"m";1;1147.8
2238;"m";1;1147.9
4360;"m";1;1147.9
3363;"m";0;1148.5
2004;"m";0;1148.6
2515;"m";0;1150.4
3458;"m";0;1150.7
4104;"m";1;1150.7
10055;"m";1;1151.2
2804;"m";0;1151.4
14397;"f";1;1152.2
4088;"m";1;1152.4
3470;"m";0;1152.7
9353;"m";1;1153.0
2348;"m";1;1153.5
4289;"m";1;1155.2
4431;"m";1;1155.9
3556;"m";1;1156.1
2760;"m";1;1156.5
4107;"m";1;1156.6
2479;"m";1;1156.6
3474;"m";1;1156.8
14814;"m";1;1157.6
2699;"m";0;1157.8
2332;"m";0;1157.9
3505;"m";1;1158.1
4155;"m";1;1158.4
3886;"m";1;1158.6
14729;"m";1;1158.8
2378;"m";0;1158.9
3846;"m";0;1159.1
2878;"m";1;1159.2
3176;"m";1;1159.5
3451;"f";0;1159.5
4380;"m";1;1159.8
4359;"m";1;1160.7
2746;"f";0;1160.8
4192;"m";1;1160.8
4543;"m";1;1160.9
2853;"f";0;1161.4
4057;"m";1;1161.4
3427;"m";0;1161.9
3379;"m";1;1162.1
3008;"m";0;1162.7
8772;"m";1;1163.2
3710;"m";1;1163.4
2157;"m";1;1164.0
2249;"m";1;1164.0
3446;"m";0;1165.0
3227;"m";1;1165.3
10278;"m";1;1166.0
3970;"m";1;1166.6
3068;"m";0;1167.3
3837;"m";0;1167.6
3166;"m";0;1168.0
4498;"m";1;1168.3
2506;"m";1;1168.6
2471;"f";1;1168.7
3506;"m";1;1169.0
4495;"m";0;1169.1
10532;"m";1;1169.2
3393;"m";1;1169.6
4199;"m";1;1169.8
2771;"m";0;1169.8
8553;"m";1;1170.6
2043;"m";1;1170.8
8933;"m";1;1170.8
2345;"m";0;1171.3
3726;"";0;1172.7
9557;"m";1;1172.7
3101;"m";0;1174.4
2739;"m";0;1175.3
8738;"m";1;1175.4
3170;"m";1;1175.8
18759;"m";1;1177.7
13379;"m";0;1177.8
3916;"m";1;1178.2
3913;"m";1;1178.6
2338;"m";1;1179.1
2100;"f";1;1179.2
2835;"f";1;1179.4
14543;"m";1;1179.4
3678;"m";1;1180.0
4504;"m";0;1180.3
2077;"m";0;1180.7
2901;"m";0;1180.9
3332;"m";1;1181.5
2995;"m";0;1181.6
2418;"m";1;1181.6
9554;"m";1;1182.0
2688;"m";1;1182.2
3390;"m";1;1182.3
3247;"f";0;1182.3
3896;"m";1;1182.5
9528;"m";1;1182.6
3365;"m";1;1182.6
8590;"m";0;1183.3
12741;"m";1;1183.4
3484;"m";1;1183.5
9362;"m";1;1184.2
4263;"m";1;1184.4
4154;"m";1;1185.7
3270;"m";1;1185.8
2617;"m";1;1185.9
2147;"m";0;1186.1
10780;"m";1;1186.3
3845;"m";0;1186.4
3053;"m";0;1187.9
3759;"m";1;1188.0
2565;"m";1;1188.0
2954;"m";0;1189.3
3482;"f";0;1189.6
3900;"m";1;1190.0
3240;"m";1;1190.3
2963;"m";1;1190.3
8422;"m";0;1191.5
9166;"m";1;1191.6
4240;"m";1;1192.1
4252;"f";1;1192.3
2258;"f";1;1192.6
9447;"m";1;1192.7
3838;"m";0;1192.9
4522;"m";0;1192.9
3413;"m";1;1193.4
3353;"m";0;1193.8
3257;"m";1;1194.6
3348;"m";1;1194.7
7550;"m";0;1194.9
3055;"m";0;1195.4
3058;"m";1;1195.4
3931;"m";1;1196.3
3119;"f";1;1196.3
4117;"m";1;1196.9
4460;"m";0;1197.5
19559;"m";1;1197.7
17638;"m";0;1197.7
3491;"m";1;1197.8
2148;"m";0;1198.1
2922;"m";0;1198.1
4545;"m";1;1198.2
19262;"m";1;1198.4
7796;"m";0;1198.7
8675;"m";0;1198.8
14843;"m";1;1199.5
10774;"m";1;1199.7
4264;"m";1;1200.2
4544;"m";1;1200.8
7283;"f";0;1201.0
10475;"m";1;1201.7
2585;"m";0;1202.3
4547;"m";0;1202.5
3232;"m";1;1203.2
15168;"m";1;1203.3
7867;"m";0;1203.3
4227;"m";1;1203.5
8448;"f";1;1203.6
4112;"m";1;1204.0
7659;"m";0;1204.1
14806;"m";1;1205.3
2927;"m";0;1205.4
3301;"m";1;1206.0
3364;"m";1;1206.0
4006;"m";1;1206.3
2569;"m";0;1206.3
3066;"m";1;1206.8
8977;"f";0;1207.1
7797;"m";0;1207.1
4521;"m";0;1207.1
2590;"m";0;1207.3
3888;"m";1;1208.1
3017;"m";0;1208.5
10765;"m";1;1208.7
3358;"f";1;1209.6
2781;"m";1;1210.1
4256;"m";1;1210.2
3553;"m";1;1210.2
4512;"f";1;1210.3
3028;"f";0;1210.4
3286;"m";1;1211.2
3396;"m";1;1211.4
4387;"m";1;1211.5
3995;"m";1;1211.6
3997;"m";1;1211.7
3957;"m";1;1211.7
3992;"m";1;1211.7
3675;"m";1;1211.7
2914;"m";1;1212.2
2584;"m";0;1212.5
4161;"m";1;1212.9
2670;"m";1;1213.0
4090;"m";1;1213.0
3483;"f";1;1213.2
2373;"m";0;1213.3
3071;"m";0;1213.9
3225;"m";0;1214.0
14995;"m";1;1214.3
2633;"m";1;1214.5
3010;"m";0;1215.5
3341;"m";0;1215.6
2149;"m";0;1215.7
2044;"m";0;1215.9
3554;"m";1;1217.3
2740;"m";0;1217.6
3406;"m";1;1217.7
8748;"f";1;1218.6
3159;"m";0;1219.5
4109;"m";1;1219.5
9767;"m";1;1219.6
3222;"m";1;1219.7
3234;"m";1;1219.7
4175;"f";1;1219.9
4369;"m";1;1220.0
4100;"m";1;1220.1
3434;"m";0;1220.6
3206;"m";0;1221.1
4080;"m";1;1221.6
4288;"m";1;1221.9
4437;"m";1;1222.0
4364;"m";1;1222.1
2152;"m";1;1222.4
2985;"m";0;1222.5
3477;"f";1;1222.8
2579;"m";0;1222.8
3898;"m";1;1222.9
14156;"m";1;1222.9
8291;"m";1;1223.0
