"id";"sex";"affiliated";"time_secs"
56120;"m";1;853.2
4021;"m";1;874.3
3813;"m";1;884.3
5963;"m";1;899.6
6311;"m";1;903.9
3845;"m";1;905.4
14622;"m";1;910.2
6363;"m";1;915.2
2207;"m";1;917.7
3383;"m";1;920.8
4617;"m";1;928.9
3829;"m";1;947.0
5555;"m";1;951.5
6306;"f";1;957.2
56166;"m";0;959.9
5832;"m";1;960.6
5436;"m";1;968.6
4342;"m";1;971.3
2377;"m";1;978.7
3975;"m";0;981.5
3529;"m";1;981.9
4032;"m";1;982.9
3927;"m";1;983.4
6308;"m";1;983.8
5983;"m";1;983.9
5914;"m";1;987.7
5960;"m";1;990.0
3463;"m";1;990.8
5964;"f";1;990.8
56096;"m";1;992.4
56117;"m";0;994.1
3092;"m";0;1002.5
15974;"m";1;1002.8
6319;"m";1;1003.7
2837;"m";1;1004.1
3681;"m";1;1005.4
2148;"m";1;1010.3
6314;"m";1;1010.4
5242;"m";1;1010.5
3810;"f";0;1010.7
56074;"m";1;1011.2
3349;"m";1;1012.6
5985;"m";1;1014.2
3840;"m";1;1014.9
3788;"m";1;1018.9
3432;"m";1;1019.5
5195;"m";0;1022.7
3410;"m";1;1023.4
56116;"m";0;1023.5
7351;"f";0;1024.1
56118;"m";0;1026.1
5775;"m";1;1026.8
6239;"m";1;1027.0
3311;"m";1;1027.3
10690;"m";1;1027.6
4397;"f";1;1029.3
3289;"m";0;1030.7
3722;"m";1;1030.8
3703;"m";1;1032.7
2818;"m";1;1033.0
2668;"m";0;1033.6
6112;"m";1;1033.8
4114;"m";0;1034.7
6274;"m";1;1034.7
3742;"m";0;1034.9
6374;"m";1;1036.4
3649;"m";0;1038.0
4969;"m";1;1039.4
5035;"m";1;1040.5
3002;"m";1;1043.7
56126;"f";1;1043.9
6334;"m";1;1046.3
3592;"m";0;1047.0
4726;"m";1;1049.8
3623;"m";0;1050.5
3417;"m";1;1051.4
3479;"m";1;1052.6
4690;"m";1;1053.7
3449;"m";0;1054.2
3535;"m";1;1054.3
2816;"m";1;1057.5
3068;"m";0;1058.4
